id;title;description;start_date;end_date;status
1;mobile Fish;Home Loan Account Table Computer;2019-05-13T05:42:43;2019-05-12T20:05:03;RELEASING
2;Producer;Implementation Electronics Officer;2019-05-12T16:17:11;2019-05-12T23:48:15;RELEASING
3;Namibia;Steel zero administration;2019-05-12T22:18:48;2019-05-13T01:31:10;RELEASING
4;Cambridgeshire Mississippi;HDD;2019-05-12T14:46:43;2019-05-13T03:00:48;RELEASING
5;envisioneer Music Public-key;infomediaries;2019-05-13T04:10:37;2019-05-12T16:27:58;RELEASING
6;Digitized invoice;convergence;2019-05-13T02:06:55;2019-05-12T17:59:06;RELEASING
7;Views e-enable Communications;National Awesome sky blue;2019-05-13T06:01:14;2019-05-12T08:02:17;RELEASING
8;interactive generating compelling;Home Loan Account;2019-05-13T00:28:55;2019-05-13T03:43:26;RELEASING
9;Industrial;index orange;2019-05-13T06:58:24;2019-05-13T06:46:05;RELEASING
10;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;2019-05-12T22:12:23;2019-05-12T23:38:33;RELEASING
